COD_CLI,CGC_CPF,RAZ_SOCIAL,NOM_FANTASIA,COD_CIDADE,COD_ESTADO,BLOQUEADO,DAT_CADASTRO,COD_GRPCLI
10064,56863450000162,COMERCIAL PRIME COMERCIO LTDA 0064,COMERCIAL PRIME,3,GO,0,2016-05-13 08:13:24,30
10065,07024740000107,COMERCIAL ESPERANCA EIRELI 0065,COMERCIAL ESPERANCA,11,GO,0,2023-06-20 20:40:07,50
10066,44065954000158,COMERCIAL VIDA COMERCIO LTDA 0066,COMERCIAL VIDA,3,GO,0,2018-09-30 14:36:35,30
10067,72104758000180,FARMA ESPERANCA ME 0067,FARMA ESPERANCA,2,MG,0,2015-02-18 08:08:50,40
10068,19266481000100,DROGA NOVA ERA ME 0068,DROGA NOVA,15,MG,0,2016-02-09 01:05:02,30
10069,60419325000135,DROGARIA UNIAO COMERCIO LTDA 0069,DROGARIA UNIAO,8,MG,0,2021-12-08 23:34:36,50
10070,45577283000177,DROGA POPULAR EIRELI 0070,DROGA POPULAR,11,MG,0,2020-01-08 03:50:50,30
10071,03218616000121,COMERCIAL AURORA COMERCIO LTDA 0071,COMERCIAL AURORA,12,MG,0,2017-05-14 21:30:24,20
10072,53221090000107,DROGA SAO PEDRO LTDA 0072,DROGA SAO,18,MG,0,2019-07-14 12:50:12,30
10073,21904891000180,FARMACIA SANTA CLARA LTDA 0073,FARMACIA SANTA,5,GO,0,2025-03-22 08:40:22,40
10074,30494556000142,REDE REAL EIRELI 0074,REDE REAL,4,MG,1,2016-07-14 00:02:23,50
10075,03930766000163,DROGA REAL LTDA 0075,DROGA REAL,12,GO,0,2016-10-26 16:21:53,50
10076,32803471000124,REDE UNIAO EIRELI 0076,REDE UNIAO,7,GO,0,2023-08-13 00:03:19,40
10077,65046953000136,COMERCIAL REAL LTDA 0077,COMERCIAL REAL,2,MG,0,2023-03-15 11:03:58,40
10078,55761339000100,REDE UNIAO EIRELI 0078,REDE UNIAO,17,MG,1,2023-07-11 17:59:27,50
10079,26436444000168,DROGARIA PRIME EIRELI 0079,DROGARIA PRIME,14,MG,0,2023-04-08 21:46:12,40
10080,27987296000132,COMERCIAL NOVA ERA EIRELI 0080,COMERCIAL NOVA,4,MG,0,2025-03-19 07:50:13,10
10081,57795672000158,DROGA MODELO EIRELI 0081,DROGA MODELO,14,MG,0,2023-06-19 04:51:37,50
10082,96341988000121,FARMACIA UNIAO COMERCIO LTDA 0082,FARMACIA UNIAO,9,GO,0,2021-01-14 09:36:05,10
10083,38990797000194,COMERCIAL BOM PRECO EIRELI 0083,COMERCIAL BOM,13,MG,0,2019-05-28 21:54:14,30
10084,44226828000138,REDE SAO PEDRO EIRELI 0084,REDE SAO,7,GO,0,2018-03-27 06:11:14,30
10085,01349219000163,DROGA UNIAO COMERCIO LTDA 0085,DROGA UNIAO,999,MG,0,2022-12-19 18:35:02,20
10086,84826417000106,FARMA ESTRELA COMERCIO LTDA 0086,FARMA ESTRELA,11,MG,0,2016-06-02 14:07:34,20
10087,90510671000195,REDE HORIZONTE ME 0087,REDE HORIZONTE,7,MG,0,2024-07-22 00:01:47,40
10088,89894332000170,DROGA AURORA EIRELI 0088,DROGA AURORA,3,MG,1,2026-04-14 07:46:11,30
10089,22050200000191,FARMACIA NOVA ERA ME 0089,FARMACIA NOVA,2,GO,0,2023-07-21 07:49:17,10
10090,85548004000161,FARMACIA SAO PEDRO LTDA 0090,FARMACIA SAO,4,GO,0,2019-10-22 01:33:49,20
10091,46267917000158,FARMA POPULAR COMERCIO LTDA 0091,FARMA POPULAR,4,GO,0,2019-04-21 07:25:11,40
10092,69318999000118,COMERCIAL UNIAO COMERCIO LTDA 0092,COMERCIAL UNIAO,14,MG,0,2015-08-09 23:42:20,20
10093,53740509000137,FARMA ESPERANCA ME 0093,FARMA ESPERANCA,16,MG,0,2025-01-15 17:54:07,40
10094,41513456000132,DROGARIA REAL ME 0094,DROGARIA REAL,1,MG,0,2021-10-14 03:47:10,40
10095,98489403000140,FARMACIA AURORA COMERCIO LTDA 0095,FARMACIA AURORA,999,MG,0,2022-09-08 20:09:21,20
10096,40168133000196,REDE ESPERANCA LTDA 0096,REDE ESPERANCA,2,MG,0,2017-02-25 02:30:41,30
10097,09710146000103,FARMACIA ESTRELA EIRELI 0097,FARMACIA ESTRELA,15,MG,0,2018-11-25 00:46:32,50
10098,13490598000196,REDE AURORA COMERCIO LTDA 0098,REDE AURORA,15,MG,0,2019-11-18 01:03:36,50
10099,51632191000145,FARMA BOM PRECO COMERCIO LTDA 0099,FARMA BOM,18,MG,0,2024-03-25 09:32:26,30
10100,73732495000117,DROGA ESPERANCA EIRELI 0100,DROGA ESPERANCA,8,GO,0,2019-02-13 22:14:32,40
10101,57938275000198,FARMA ESPERANCA EIRELI 0101,FARMA ESPERANCA,17,MG,0,2020-12-14 02:16:16,30
10102,83199590000150,DROGARIA NOVA ERA ME 0102,DROGARIA NOVA,8,GO,0,2026-06-22 01:15:42,40
10103,50579388000103,DROGA PRIME LTDA 0103,DROGA PRIME,9,MG,1,2017-06-11 11:54:50,40
10104,19788195000104,FARMACIA ESPERANCA COMERCIO LTDA 0104,FARMACIA ESPERANCA,5,MG,0,2017-02-24 12:52:32,40
10105,94931411000144,FARMACIA UNIAO LTDA 0105,FARMACIA UNIAO,12,GO,0,2022-03-23 23:34:17,40
10106,46516613000187,FARMA PRIME COMERCIO LTDA 0106,FARMA PRIME,7,GO,0,2025-11-05 12:29:27,10
10107,20591428000163,DROGARIA UNIAO COMERCIO LTDA 0107,DROGARIA UNIAO,14,MG,0,2021-06-17 04:31:24,20
10108,02539496000100,REDE SAO PEDRO COMERCIO LTDA 0108,REDE SAO,7,GO,0,2016-03-05 10:20:44,40
10109,01089175000180,DROGARIA IDEAL EIRELI 0109,DROGARIA IDEAL,8,GO,1,2015-01-21 21:52:42,40
10110,52191068000107,FARMA PLANALTO ME 0110,FARMA PLANALTO,7,GO,0,2018-01-13 07:27:20,50
10111,45982947000183,FARMACIA SANTA CLARA COMERCIO LTDA 0111,FARMACIA SANTA,8,GO,0,2025-08-22 19:05:56,20
10112,74198600000142,DROGARIA MODELO EIRELI 0112,DROGARIA MODELO,16,MG,0,2023-04-03 01:51:30,10
10113,60319011000160,COMERCIAL BOM PRECO COMERCIO LTDA 0113,COMERCIAL BOM,13,MG,0,2025-01-07 23:27:09,50
10114,69131042000168,REDE PLANALTO LTDA 0114,REDE PLANALTO,5,MG,0,2024-12-03 14:49:36,40
10115,26148277000150,REDE SAO PEDRO LTDA 0115,REDE SAO,13,MG,0,2021-12-19 07:41:51,20
10116,39045494000166,FARMACIA ESTRELA ME 0116,FARMACIA ESTRELA,14,MG,0,2014-12-13 12:11:47,40
10117,34708876000109,DROGA MODELO EIRELI 0117,DROGA MODELO,2,MG,0,2014-10-12 11:15:22,50
10118,99735468000191,FARMA PRIME EIRELI 0118,FARMA PRIME,4,GO,0,2019-10-16 15:54:02,30
10119,27287251000155,DROGA REAL EIRELI 0119,DROGA REAL,13,MG,0,2019-03-19 04:45:57,20
10120,81737481000114,FARMA SAO PEDRO LTDA 0120,FARMA SAO,2,GO,0,2023-04-20 18:15:11,50
10121,67182448000144,FARMACIA POPULAR LTDA 0121,FARMACIA POPULAR,12,MG,0,2019-08-23 11:32:49,10
10122,22310473000128,FARMACIA UNIAO LTDA 0122,FARMACIA UNIAO,1,MG,0,2025-06-26 18:02:33,30
10123,56488957000183,FARMACIA SAUDE COMERCIO LTDA 0123,FARMACIA SAUDE,5,MG,0,2014-11-09 20:48:43,40
10124,75689172000113,REDE UNIAO COMERCIO LTDA 0124,REDE UNIAO,4,MG,,2020-06-21 09:46:36,40
10125,86694395000195,DROGA IDEAL ME 0125,DROGA IDEAL,12,GO,0,2016-02-10 09:38:23,30
10126,71712892000100,FARMACIA NOVA ERA LTDA 0126,FARMACIA NOVA,4,MG,1,2015-04-15 20:01:08,40
10127,14946277000116,DROGARIA NOVA ERA COMERCIO LTDA 0127,DROGARIA NOVA,10,GO,0,2018-09-04 23:08:54,30
10128,80228578000139,COMERCIAL UNIAO LTDA 0128,COMERCIAL UNIAO,7,GO,0,2021-06-07 13:42:28,
10129,78567619000170,DROGARIA NOVA ERA LTDA 0129,DROGARIA NOVA,8,MG,0,2021-05-04 09:50:28,30
10130,22114422000120,DROGA PLANALTO COMERCIO LTDA 0130,DROGA PLANALTO,2,MG,0,2026-03-14 02:20:48,40
10131,54924863000184,DROGA POPULAR EIRELI 0131,DROGA POPULAR,11,GO,0,2017-11-17 03:14:27,30
10132,12508853000118,FARMA HORIZONTE LTDA 0132,FARMA HORIZONTE,1,MG,0,2021-12-09 20:25:26,50
10133,25970817000113,DROGA ESTRELA ME 0133,DROGA ESTRELA,14,MG,0,2026-04-08 10:35:21,40
10134,99727726000198,FARMACIA AURORA EIRELI 0134,FARMACIA AURORA,14,MG,0,2024-11-09 09:28:56,40
10135,46640920000175,FARMA ESTRELA COMERCIO LTDA 0135,FARMA ESTRELA,18,MG,0,2016-06-14 23:37:13,50
10136,37232626000133,DROGA ESPERANCA LTDA 0136,DROGA ESPERANCA,9,MG,0,2020-04-30 21:12:16,50
10137,88708349000123,FARMA ESPERANCA COMERCIO LTDA 0137,FARMA ESPERANCA,5,GO,0,2020-04-05 01:19:30,40
10138,47727240000156,DROGA SAO PEDRO COMERCIO LTDA 0138,DROGA SAO,13,MG,0,2018-02-22 05:10:55,50
10139,32088803000136,FARMACIA HORIZONTE ME 0139,FARMACIA HORIZONTE,6,GO,0,2016-01-19 10:47:19,40
10140,20113009000116,DROGA PRIME EIRELI 0140,DROGA PRIME,12,MG,0,2024-07-02 04:03:33,30
10141,45974473000128,REDE SAO PEDRO ME 0141,REDE SAO,9,MG,0,2019-06-25 21:10:19,40
10142,96688087000100,FARMACIA REAL COMERCIO LTDA 0142,FARMACIA REAL,3,MG,0,2024-02-28 20:12:34,30
10143,36461691000178,FARMACIA HORIZONTE COMERCIO LTDA 0143,FARMACIA HORIZONTE,18,MG,0,2017-07-22 06:57:21,40
10144,34877288000107,DROGARIA POPULAR EIRELI 0144,DROGARIA POPULAR,8,GO,1,2019-10-17 02:04:51,40
10145,66971045000111,FARMA ESPERANCA EIRELI 0145,FARMA ESPERANCA,8,MG,0,2025-09-21 11:48:12,50
10146,20506437000109,FARMA PLANALTO EIRELI 0146,FARMA PLANALTO,12,MG,0,2021-08-20 04:20:28,40
10147,46342712000190,COMERCIAL PLANALTO EIRELI 0147,COMERCIAL PLANALTO,7,GO,0,2019-05-23 15:02:21,20
10148,72657909000128,COMERCIAL ESTRELA EIRELI 0148,COMERCIAL ESTRELA,6,GO,0,2023-04-10 06:53:07,30
10149,94294999000172,DROGA ESPERANCA LTDA 0149,DROGA ESPERANCA,10,MG,0,2022-08-02 19:59:17,40
10150,77834351000122,FARMACIA PRIME LTDA 0150,FARMACIA PRIME,12,GO,0,2021-06-23 15:16:48,40
10151,21268260000112,COMERCIAL BOM PRECO ME 0151,COMERCIAL BOM,18,MG,0,2016-09-10 00:30:27,40
10152,40486810000114,COMERCIAL HORIZONTE EIRELI 0152,COMERCIAL HORIZONTE,7,MG,0,2017-04-26 10:40:21,40
10153,99845394000146,REDE NOVA ERA LTDA 0153,REDE NOVA,17,MG,0,2016-04-06 17:23:44,40
10154,36675827000142,DROGA ESPERANCA EIRELI 0154,DROGA ESPERANCA,7,MG,0,2018-06-23 10:32:25,10
10155,24011859000164,DROGA SAO PEDRO ME 0155,DROGA SAO,6,MG,0,2024-12-10 05:21:58,
10156,79192915000104,DROGARIA CENTRAL EIRELI 0156,DROGARIA CENTRAL,9,MG,,2020-09-05 00:17:21,50
10157,70771854000157,COMERCIAL HORIZONTE LTDA 0157,COMERCIAL HORIZONTE,5,MG,0,2020-08-03 03:41:09,40
10158,69570298000171,REDE NOVA ERA COMERCIO LTDA 0158,REDE NOVA,1,MG,0,2019-02-04 05:16:11,20
10159,51406683000112,FARMA PRIME ME 0159,FARMA PRIME,16,MG,0,2015-09-18 16:37:48,30
10160,14892611000104,DROGA HORIZONTE LTDA 0160,DROGA HORIZONTE,2,MG,0,2023-05-05 12:28:54,40
10161,24645522000109,FARMA HORIZONTE LTDA 0161,FARMA HORIZONTE,2,GO,0,2021-01-28 06:52:41,10
10162,33780385000106,FARMACIA SAUDE EIRELI 0162,FARMACIA SAUDE,2,MG,0,2019-12-30 05:57:32,10
10163,30962792000146,FARMACIA VIDA COMERCIO LTDA 0163,FARMACIA VIDA,3,MG,0,2015-09-27 18:47:15,10
10164,51730910000160,REDE ESPERANCA COMERCIO LTDA 0164,REDE ESPERANCA,10,GO,0,2018-12-20 10:40:42,
10165,07992750000136,FARMA NOVA ERA COMERCIO LTDA 0165,FARMA NOVA,15,MG,0,2014-10-18 03:08:31,40
10166,81248833000178,REDE CENTRAL LTDA 0166,REDE CENTRAL,10,MG,0,2015-08-30 17:25:29,40
10167,75632534000130,COMERCIAL UNIAO EIRELI 0167,COMERCIAL UNIAO,4,GO,1,2020-12-08 17:08:41,30
10168,97054519000194,DROGARIA BOM PRECO ME 0168,DROGARIA BOM,11,GO,0,2018-10-04 01:00:25,30
10169,74351158000142,REDE POPULAR ME 0169,REDE POPULAR,3,GO,0,2017-06-07 09:58:50,40
10170,00723280000166,FARMA ESTRELA COMERCIO LTDA 0170,FARMA ESTRELA,1,MG,,2020-12-19 06:12:41,30
10171,02227593000159,DROGARIA ESPERANCA EIRELI 0171,DROGARIA ESPERANCA,10,MG,0,2018-06-30 02:09:12,30
10172,91778730000173,COMERCIAL ESTRELA LTDA 0172,COMERCIAL ESTRELA,10,MG,0,2025-09-15 11:29:39,40
10173,78658307000171,DROGA UNIAO COMERCIO LTDA 0173,DROGA UNIAO,8,MG,0,2025-09-19 16:03:01,10
10174,88894737000146,REDE ESPERANCA ME 0174,REDE ESPERANCA,4,MG,0,2017-11-18 01:09:31,40
10175,49269074000117,FARMACIA POPULAR LTDA 0175,FARMACIA POPULAR,9,MG,0,2020-08-07 13:13:45,40
10176,39135372000160,DROGA NOVA ERA COMERCIO LTDA 0176,DROGA NOVA,3,GO,0,2026-03-06 07:35:48,40
10177,22821231000107,FARMA NOVA ERA COMERCIO LTDA 0177,FARMA NOVA,4,MG,0,2015-04-12 09:05:47,40
10178,87990815000143,REDE PLANALTO COMERCIO LTDA 0178,REDE PLANALTO,5,GO,0,2021-08-14 07:32:50,40
10179,94760501000110,DROGARIA CENTRAL COMERCIO LTDA 0179,DROGARIA CENTRAL,8,GO,0,2025-09-20 13:13:31,30
10180,29385428000181,REDE SANTA CLARA LTDA 0180,REDE SANTA,11,MG,0,2022-05-31 11:42:58,50
10181,46597032000117,FARMACIA SAO PEDRO EIRELI 0181,FARMACIA SAO,3,MG,0,2015-04-20 07:54:53,40
10182,78400450000169,DROGARIA BOM PRECO COMERCIO LTDA 0182,DROGARIA BOM,10,GO,0,2021-08-14 23:46:08,40
10183,75800057000174,COMERCIAL ESTRELA EIRELI 0183,COMERCIAL ESTRELA,9,GO,0,2016-02-03 10:42:38,40
10184,02487701000122,REDE REAL COMERCIO LTDA 0184,REDE REAL,3,GO,0,2017-03-02 07:25:34,40
10185,60809799000193,FARMA IDEAL COMERCIO LTDA 0185,FARMA IDEAL,3,MG,0,2022-11-24 00:56:54,30
10186,68698033000190,DROGA VIDA ME 0186,DROGA VIDA,6,GO,0,2021-04-16 10:20:51,40
10187,09004702000118,FARMA HORIZONTE EIRELI 0187,FARMA HORIZONTE,11,MG,0,2021-12-14 22:03:42,40
10188,43174062000122,FARMA PLANALTO LTDA 0188,FARMA PLANALTO,11,GO,0,2017-09-21 03:43:26,40
10189,30098780000115,DROGARIA PRIME EIRELI 0189,DROGARIA PRIME,15,MG,0,2024-12-25 22:45:39,40
10190,80589415000181,DROGARIA MODELO LTDA 0190,DROGARIA MODELO,11,MG,0,2015-08-22 06:50:27,40
10191,43524436000192,FARMA REAL LTDA 0191,FARMA REAL,18,MG,0,2024-07-14 19:51:33,30
10192,70241501000145,REDE IDEAL COMERCIO LTDA 0192,REDE IDEAL,7,MG,0,2018-03-28 10:50:52,20
10193,75035199000192,FARMA CENTRAL ME 0193,FARMA CENTRAL,11,GO,0,2015-02-20 08:14:16,40
10194,92255728000182,REDE SAUDE EIRELI 0194,REDE SAUDE,9,MG,0,2017-08-30 11:13:42,40
10195,19510897000121,COMERCIAL HORIZONTE LTDA 0195,COMERCIAL HORIZONTE,8,GO,0,2018-07-12 08:21:48,40
10196,72708878000197,COMERCIAL ESPERANCA ME 0196,COMERCIAL ESPERANCA,1,MG,0,2016-01-22 01:20:02,10
10197,74102653000118,REDE SAO PEDRO COMERCIO LTDA 0197,REDE SAO,10,MG,0,2021-08-08 16:07:01,40
10198,72776950000113,FARMACIA VIDA COMERCIO LTDA 0198,FARMACIA VIDA,3,MG,0,2020-05-06 14:54:51,40
10199,60788359000105,COMERCIAL SAUDE COMERCIO LTDA 0199,COMERCIAL SAUDE,4,MG,0,2021-11-04 09:34:10,10
10200,13113993000150,REDE SANTA CLARA COMERCIO LTDA 0200,REDE SANTA,10,MG,0,2021-08-31 07:55:44,30
10201,08969914000177,FARMA ESPERANCA COMERCIO LTDA 0201,FARMA ESPERANCA,16,MG,0,2020-08-18 19:14:01,40
10202,20667948000102,FARMACIA MODELO ME 0202,FARMACIA MODELO,18,MG,0,2023-07-12 19:40:00,30
10203,81207238000194,COMERCIAL SAUDE LTDA 0203,COMERCIAL SAUDE,17,MG,0,2025-02-17 11:06:08,40
10204,39419909000114,FARMA PRIME EIRELI 0204,FARMA PRIME,9,MG,0,2024-04-06 08:50:03,40
10205,27133085000132,DROGA NOVA ERA COMERCIO LTDA 0205,DROGA NOVA,1,GO,0,2014-12-30 22:59:39,10
10206,63925524000103,FARMA PLANALTO COMERCIO LTDA 0206,FARMA PLANALTO,5,MG,0,2015-02-18 23:16:42,30
10207,80866617000123,DROGA PLANALTO COMERCIO LTDA 0207,DROGA PLANALTO,6,GO,0,2017-06-06 06:17:50,
10208,06567483000197,DROGA UNIAO ME 0208,DROGA UNIAO,15,MG,1,2015-07-16 23:53:35,40
10209,08713064000141,FARMACIA REAL LTDA 0209,FARMACIA REAL,13,MG,0,2021-02-09 06:53:15,10
10210,82794034000160,COMERCIAL HORIZONTE COMERCIO LTDA 0210,COMERCIAL HORIZONTE,11,MG,0,2023-12-06 15:39:41,50
10211,56827603000116,COMERCIAL SAUDE COMERCIO LTDA 0211,COMERCIAL SAUDE,7,GO,0,2020-06-15 00:45:28,40
10212,68993899000124,FARMACIA AURORA EIRELI 0212,FARMACIA AURORA,1,GO,0,2018-03-02 04:44:22,40
10213,90548856000199,FARMA VIDA COMERCIO LTDA 0213,FARMA VIDA,4,MG,0,2015-04-16 06:55:30,30
10214,95282288000140,COMERCIAL SAUDE COMERCIO LTDA 0214,COMERCIAL SAUDE,1,MG,0,2023-02-15 17:11:56,30
10215,14992345000183,FARMACIA POPULAR COMERCIO LTDA 0215,FARMACIA POPULAR,11,GO,0,2017-05-19 19:32:02,40
10216,48607534000107,DROGA MODELO LTDA 0216,DROGA MODELO,9,MG,0,2016-10-08 11:47:55,30
10217,77036858000130,COMERCIAL PLANALTO COMERCIO LTDA 0217,COMERCIAL PLANALTO,11,MG,0,2016-01-12 11:19:53,40
10218,29330829000134,COMERCIAL HORIZONTE LTDA 0218,COMERCIAL HORIZONTE,11,MG,0,2016-08-15 06:07:22,40
10219,13785704000169,DROGARIA ESPERANCA EIRELI 0219,DROGARIA ESPERANCA,10,GO,1,2024-10-13 16:31:48,50
10220,18923559000159,COMERCIAL POPULAR COMERCIO LTDA 0220,COMERCIAL POPULAR,4,GO,0,2018-03-07 05:59:31,30
10221,87311358000113,COMERCIAL VIDA COMERCIO LTDA 0221,COMERCIAL VIDA,4,MG,0,2019-09-17 04:01:49,40
